 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Krypton [36] , Mass = 86 amu

 Target Density =  1.5900E-04 g/cm3 = 2.3064E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  35.00 MeV   6.681E+01  4.709E-01   67.00 mm     2.09 mm     2.26 mm  
  37.50 MeV   6.851E+01  4.457E-01   69.31 mm     2.12 mm     2.28 mm  
  40.00 MeV   6.996E+01  4.232E-01   71.57 mm     2.15 mm     2.30 mm  
  45.00 MeV   7.229E+01  3.850E-01   75.96 mm     2.24 mm     2.32 mm  
  50.00 MeV   7.400E+01  3.536E-01   80.23 mm     2.33 mm     2.35 mm  
  55.00 MeV   7.525E+01  3.273E-01   84.43 mm     2.41 mm     2.37 mm  
  60.00 MeV   7.614E+01  3.049E-01   88.56 mm     2.48 mm     2.40 mm  
  65.00 MeV   7.676E+01  2.856E-01   92.66 mm     2.55 mm     2.42 mm  
  70.00 MeV   7.716E+01  2.687E-01   96.73 mm     2.62 mm     2.44 mm  
  80.00 MeV   7.746E+01  2.407E-01  104.84 mm     2.87 mm     2.47 mm  
  90.00 MeV   7.730E+01  2.184E-01  112.94 mm     3.09 mm     2.50 mm  
 100.00 MeV   7.683E+01  2.001E-01  121.08 mm     3.30 mm     2.53 mm  
 110.00 MeV   7.618E+01  1.848E-01  129.28 mm     3.50 mm     2.56 mm  
 120.00 MeV   7.542E+01  1.718E-01  137.55 mm     3.70 mm     2.59 mm  
 130.00 MeV   7.458E+01  1.607E-01  145.92 mm     3.89 mm     2.61 mm  
 140.00 MeV   7.372E+01  1.510E-01  154.38 mm     4.07 mm     2.64 mm  
 150.00 MeV   7.285E+01  1.424E-01  162.95 mm     4.25 mm     2.66 mm  
 160.00 MeV   7.198E+01  1.349E-01  171.62 mm     4.42 mm     2.69 mm  
 170.00 MeV   7.113E+01  1.282E-01  180.39 mm     4.60 mm     2.71 mm  
 180.00 MeV   7.054E+01  1.221E-01  189.25 mm     4.77 mm     2.73 mm  
 200.00 MeV   6.876E+01  1.117E-01  207.29 mm     5.41 mm     2.78 mm  
 225.00 MeV   6.691E+01  1.010E-01  230.44 mm     6.33 mm     2.84 mm  
 250.00 MeV   6.557E+01  9.231E-02  254.14 mm     7.17 mm     2.90 mm  
 275.00 MeV   6.434E+01  8.508E-02  278.32 mm     7.94 mm     2.96 mm  
 300.00 MeV   6.322E+01  7.896E-02  302.94 mm     8.68 mm     3.02 mm  
 325.00 MeV   6.218E+01  7.371E-02  327.99 mm     9.38 mm     3.08 mm  
 350.00 MeV   6.120E+01  6.915E-02  353.45 mm    10.05 mm     3.14 mm  
 375.00 MeV   6.029E+01  6.516E-02  379.31 mm    10.70 mm     3.20 mm  
 400.00 MeV   5.942E+01  6.162E-02  405.56 mm    11.32 mm     3.26 mm  
 450.00 MeV   5.778E+01  5.565E-02  459.18 mm    13.63 mm     3.39 mm  
 500.00 MeV   5.625E+01  5.079E-02  514.30 mm    15.71 mm     3.52 mm  
 550.00 MeV   5.480E+01  4.675E-02  570.90 mm    17.64 mm     3.65 mm  
 600.00 MeV   5.340E+01  4.334E-02  628.99 mm    19.46 mm     3.78 mm  
 650.00 MeV   5.204E+01  4.041E-02  688.61 mm    21.21 mm     3.91 mm  
 700.00 MeV   5.072E+01  3.788E-02  749.78 mm    22.91 mm     4.05 mm  
 800.00 MeV   4.817E+01  3.370E-02  876.97 mm    29.14 mm     4.34 mm  
 900.00 MeV   4.575E+01  3.039E-02    1.01 m     34.76 mm     4.64 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.5899E-03                 eV / Angstrom 
  1.5899E-02                keV / micron   
  1.5899E-02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.8938E+00                 eV / (1E15 atoms/cm2)
  3.4826E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
