 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in  H- C (gas).txt

 Ion = Krypton [36] , Mass = 85.9106 amu

 Target Density =  1.9100E-04 g/cm3 = 2.7705E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  25.00 MeV   5.681E+01  6.136E-01   47.41 mm     1.62 mm     1.80 mm
  27.50 MeV   5.990E+01  5.694E-01   49.63 mm     1.66 mm     1.83 mm
  30.00 MeV   6.256E+01  5.317E-01   51.74 mm     1.69 mm     1.85 mm
  32.50 MeV   6.486E+01  4.990E-01   53.78 mm     1.72 mm     1.86 mm
  35.00 MeV   6.684E+01  4.705E-01   55.75 mm     1.74 mm     1.88 mm
  37.50 MeV   6.853E+01  4.453E-01   57.67 mm     1.77 mm     1.90 mm
  40.00 MeV   6.999E+01  4.229E-01   59.55 mm     1.79 mm     1.91 mm
  45.00 MeV   7.231E+01  3.847E-01   63.20 mm     1.87 mm     1.93 mm
  50.00 MeV   7.401E+01  3.533E-01   66.76 mm     1.94 mm     1.96 mm
  55.00 MeV   7.526E+01  3.270E-01   70.25 mm     2.00 mm     1.98 mm
  60.00 MeV   7.615E+01  3.046E-01   73.69 mm     2.07 mm     1.99 mm
  65.00 MeV   7.677E+01  2.853E-01   77.10 mm     2.12 mm     2.01 mm
  70.00 MeV   7.716E+01  2.685E-01   80.49 mm     2.18 mm     2.03 mm
  80.00 MeV   7.746E+01  2.405E-01   87.24 mm     2.39 mm     2.06 mm
  90.00 MeV   7.729E+01  2.182E-01   93.98 mm     2.57 mm     2.08 mm
 100.00 MeV   7.683E+01  1.999E-01  100.76 mm     2.75 mm     2.11 mm
 110.00 MeV   7.617E+01  1.846E-01  107.58 mm     2.92 mm     2.13 mm
 120.00 MeV   7.541E+01  1.717E-01  114.48 mm     3.08 mm     2.15 mm
 130.00 MeV   7.457E+01  1.605E-01  121.44 mm     3.23 mm     2.17 mm
 140.00 MeV   7.371E+01  1.508E-01  128.49 mm     3.39 mm     2.19 mm
 150.00 MeV   7.284E+01  1.423E-01  135.62 mm     3.54 mm     2.22 mm
 160.00 MeV   7.197E+01  1.348E-01  142.84 mm     3.68 mm     2.24 mm
 170.00 MeV   7.112E+01  1.280E-01  150.14 mm     3.83 mm     2.26 mm
 180.00 MeV   7.053E+01  1.220E-01  157.52 mm     3.97 mm     2.28 mm
 200.00 MeV   6.873E+01  1.116E-01  172.54 mm     4.51 mm     2.32 mm
 225.00 MeV   6.689E+01  1.009E-01  191.81 mm     5.27 mm     2.36 mm
 250.00 MeV   6.555E+01  9.223E-02  211.55 mm     5.97 mm     2.41 mm
 275.00 MeV   6.433E+01  8.500E-02  231.68 mm     6.61 mm     2.46 mm
 300.00 MeV   6.321E+01  7.889E-02  252.19 mm     7.23 mm     2.51 mm
 325.00 MeV   6.216E+01  7.364E-02  273.04 mm     7.81 mm     2.56 mm
 350.00 MeV   6.119E+01  6.909E-02  294.24 mm     8.37 mm     2.61 mm
 375.00 MeV   6.027E+01  6.510E-02  315.77 mm     8.90 mm     2.66 mm
 400.00 MeV   5.940E+01  6.157E-02  337.63 mm     9.43 mm     2.72 mm
 450.00 MeV   5.777E+01  5.560E-02  382.28 mm    11.35 mm     2.82 mm
 500.00 MeV   5.624E+01  5.074E-02  428.17 mm    13.08 mm     2.93 mm
 550.00 MeV   5.478E+01  4.671E-02  475.30 mm    14.68 mm     3.03 mm
 600.00 MeV   5.338E+01  4.330E-02  523.68 mm    16.20 mm     3.14 mm
 650.00 MeV   5.202E+01  4.038E-02  573.32 mm    17.66 mm     3.26 mm
 700.00 MeV   5.070E+01  3.785E-02  624.27 mm    19.08 mm     3.37 mm
 800.00 MeV   4.815E+01  3.367E-02  730.19 mm    24.26 mm     3.61 mm
 900.00 MeV   4.573E+01  3.036E-02  841.72 mm    28.95 mm     3.86 mm
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.9099E-03                 eV / Angstrom
  1.9099E-02                keV / micron
  1.9099E-02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  6.8938E+00                 eV / (1E15 atoms/cm2)
  3.4828E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
