 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Butane2.5MeVuRun, n-Butane (ICRU-340) (gas).txt

 Ion = Strontium [38] , Mass = 89 amu

 Target Density =  1.3840E-04 g/cm3 = 2.0075E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  15.00 MeV   4.270E+01  1.025E+00   47.05 mm     1.86 mm     2.12 mm  
  16.00 MeV   4.467E+01  9.760E-01   48.67 mm     1.88 mm     2.15 mm  
  17.00 MeV   4.652E+01  9.323E-01   50.22 mm     1.90 mm     2.17 mm  
  18.00 MeV   4.825E+01  8.928E-01   51.71 mm     1.92 mm     2.20 mm  
  20.00 MeV   5.139E+01  8.238E-01   54.56 mm     1.97 mm     2.24 mm  
  22.50 MeV   5.477E+01  7.525E-01   57.90 mm     2.04 mm     2.28 mm  
  25.00 MeV   5.764E+01  6.935E-01   61.07 mm     2.10 mm     2.32 mm  
  27.50 MeV   6.009E+01  6.439E-01   64.10 mm     2.15 mm     2.35 mm  
  30.00 MeV   6.221E+01  6.015E-01   67.03 mm     2.20 mm     2.38 mm  
  32.50 MeV   6.405E+01  5.647E-01   69.86 mm     2.24 mm     2.41 mm  
  35.00 MeV   6.567E+01  5.326E-01   72.62 mm     2.28 mm     2.43 mm  
  37.50 MeV   6.710E+01  5.042E-01   75.31 mm     2.32 mm     2.45 mm  
  40.00 MeV   6.838E+01  4.789E-01   77.96 mm     2.35 mm     2.47 mm  
  45.00 MeV   7.057E+01  4.359E-01   83.12 mm     2.47 mm     2.51 mm  
  50.00 MeV   7.239E+01  4.004E-01   88.14 mm     2.58 mm     2.54 mm  
  55.00 MeV   7.392E+01  3.707E-01   93.05 mm     2.67 mm     2.57 mm  
  60.00 MeV   7.523E+01  3.455E-01   97.87 mm     2.76 mm     2.60 mm  
  65.00 MeV   7.635E+01  3.237E-01  102.62 mm     2.85 mm     2.62 mm  
  70.00 MeV   7.730E+01  3.046E-01  107.30 mm     2.93 mm     2.65 mm  
  80.00 MeV   7.878E+01  2.730E-01  116.52 mm     3.21 mm     2.69 mm  
  90.00 MeV   7.980E+01  2.478E-01  125.60 mm     3.47 mm     2.73 mm  
 100.00 MeV   8.045E+01  2.271E-01  134.59 mm     3.70 mm     2.76 mm  
 110.00 MeV   8.080E+01  2.098E-01  143.52 mm     3.91 mm     2.80 mm  
 120.00 MeV   8.091E+01  1.951E-01  152.44 mm     4.11 mm     2.83 mm  
 130.00 MeV   8.084E+01  1.825E-01  161.35 mm     4.31 mm     2.86 mm  
 140.00 MeV   8.063E+01  1.715E-01  170.28 mm     4.49 mm     2.89 mm  
 150.00 MeV   8.031E+01  1.618E-01  179.24 mm     4.67 mm     2.91 mm  
 160.00 MeV   7.990E+01  1.533E-01  188.24 mm     4.84 mm     2.94 mm  
 170.00 MeV   7.943E+01  1.456E-01  197.29 mm     5.01 mm     2.97 mm  
 180.00 MeV   7.899E+01  1.388E-01  206.39 mm     5.18 mm     2.99 mm  
 200.00 MeV   7.801E+01  1.269E-01  224.77 mm     5.80 mm     3.04 mm  
 225.00 MeV   7.611E+01  1.149E-01  248.18 mm     6.68 mm     3.10 mm  
 250.00 MeV   7.489E+01  1.050E-01  272.08 mm     7.49 mm     3.16 mm  
 275.00 MeV   7.364E+01  9.678E-02  296.37 mm     8.25 mm     3.22 mm  
 300.00 MeV   7.240E+01  8.984E-02  321.08 mm     8.96 mm     3.28 mm  
 325.00 MeV   7.117E+01  8.388E-02  346.22 mm     9.64 mm     3.34 mm  
 350.00 MeV   6.997E+01  7.870E-02  371.79 mm    10.30 mm     3.40 mm  
 375.00 MeV   6.880E+01  7.416E-02  397.80 mm    10.94 mm     3.46 mm  
 400.00 MeV   6.766E+01  7.015E-02  424.25 mm    11.57 mm     3.52 mm  
 450.00 MeV   6.548E+01  6.336E-02  478.48 mm    13.88 mm     3.65 mm  
 500.00 MeV   6.343E+01  5.784E-02  534.50 mm    15.99 mm     3.77 mm  
 550.00 MeV   6.148E+01  5.325E-02  592.31 mm    17.96 mm     3.90 mm  
 600.00 MeV   5.964E+01  4.937E-02  651.94 mm    19.85 mm     4.03 mm  
 650.00 MeV   5.789E+01  4.604E-02  713.39 mm    21.67 mm     4.17 mm  
 700.00 MeV   5.622E+01  4.316E-02  776.68 mm    23.45 mm     4.30 mm  
 800.00 MeV   5.313E+01  3.841E-02  908.83 mm    30.00 mm     4.59 mm  
 900.00 MeV   5.031E+01  3.464E-02    1.05 m     35.93 mm     4.90 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3840E-03                 eV / Angstrom 
  1.3840E-02                keV / micron   
  1.3840E-02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.8938E+00                 eV / (1E15 atoms/cm2)
  3.3456E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
