 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium88 in Butane, n-Butane (ICRU-340) (gas)2pt5MeVu.txt

 Ion = Strontium [38] , Mass = 88 amu

 Target Density =  1.3800E-04 g/cm3 = 2.0017E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 120.00 MeV   8.091E+01  1.932E-01  152.36 mm     4.11 mm     2.82 mm  
 130.00 MeV   8.082E+01  1.807E-01  161.30 mm     4.31 mm     2.85 mm  
 140.00 MeV   8.059E+01  1.698E-01  170.26 mm     4.49 mm     2.88 mm  
 150.00 MeV   8.025E+01  1.603E-01  179.25 mm     4.67 mm     2.91 mm  
 160.00 MeV   7.982E+01  1.518E-01  188.29 mm     4.85 mm     2.94 mm  
 170.00 MeV   7.933E+01  1.442E-01  197.38 mm     5.02 mm     2.96 mm  
 180.00 MeV   7.895E+01  1.374E-01  206.52 mm     5.18 mm     2.99 mm  
 200.00 MeV   7.782E+01  1.257E-01  224.98 mm     5.81 mm     3.04 mm  
 225.00 MeV   7.599E+01  1.137E-01  248.50 mm     6.70 mm     3.10 mm  
 250.00 MeV   7.475E+01  1.040E-01  272.51 mm     7.51 mm     3.16 mm  
 275.00 MeV   7.348E+01  9.584E-02  296.92 mm     8.27 mm     3.22 mm  
 300.00 MeV   7.223E+01  8.896E-02  321.76 mm     8.99 mm     3.28 mm  
 325.00 MeV   7.099E+01  8.306E-02  347.03 mm     9.68 mm     3.34 mm  
 350.00 MeV   6.978E+01  7.793E-02  372.74 mm    10.34 mm     3.40 mm  
 375.00 MeV   6.860E+01  7.344E-02  398.90 mm    10.99 mm     3.46 mm  
 400.00 MeV   6.746E+01  6.946E-02  425.50 mm    11.62 mm     3.52 mm  
 450.00 MeV   6.527E+01  6.274E-02  480.07 mm    13.95 mm     3.65 mm  
 500.00 MeV   6.320E+01  5.727E-02  536.44 mm    16.08 mm     3.77 mm  
 550.00 MeV   6.124E+01  5.272E-02  594.64 mm    18.06 mm     3.90 mm  
 600.00 MeV   5.939E+01  4.888E-02  654.68 mm    19.96 mm     4.04 mm  
 650.00 MeV   5.764E+01  4.559E-02  716.57 mm    21.80 mm     4.17 mm  
 700.00 MeV   5.597E+01  4.273E-02  780.32 mm    23.60 mm     4.31 mm  
 800.00 MeV   5.286E+01  3.803E-02  913.50 mm    30.20 mm     4.61 mm  
 900.00 MeV   5.004E+01  3.430E-02    1.05 m     36.19 mm     4.92 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3800E-03                 eV / Angstrom 
  1.3800E-02                keV / micron   
  1.3800E-02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.8938E+00                 eV / (1E15 atoms/cm2)
  3.3473E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
