 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium89_2 in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Strontium [38] , Mass = 89 amu

 Target Density =  1.5890E-04 g/cm3 = 2.3049E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 450.00 MeV   6.548E+01  6.336E-02  416.75 mm    12.09 mm     3.18 mm  
 500.00 MeV   6.343E+01  5.784E-02  465.54 mm    13.93 mm     3.28 mm  
 550.00 MeV   6.148E+01  5.325E-02  515.90 mm    15.65 mm     3.40 mm  
 600.00 MeV   5.964E+01  4.937E-02  567.83 mm    17.29 mm     3.51 mm  
 650.00 MeV   5.789E+01  4.604E-02  621.35 mm    18.88 mm     3.63 mm  
 700.00 MeV   5.622E+01  4.316E-02  676.48 mm    20.43 mm     3.75 mm  
 800.00 MeV   5.313E+01  3.841E-02  791.58 mm    26.13 mm     4.00 mm  
 900.00 MeV   5.031E+01  3.464E-02  913.26 mm    31.29 mm     4.27 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.5889E-03                 eV / Angstrom 
  1.5889E-02                keV / micron   
  1.5889E-02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.8938E+00                 eV / (1E15 atoms/cm2)
  3.3456E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
