 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Strontium [38] , Mass = 87.91 amu

 Target Density =  1.5890E-04 g/cm3 = 2.3049E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  16.00 MeV   4.504E+01  9.668E-01   42.14 mm     1.63 mm     1.86 mm  
  17.00 MeV   4.689E+01  9.235E-01   43.48 mm     1.65 mm     1.88 mm  
  18.00 MeV   4.862E+01  8.843E-01   44.77 mm     1.66 mm     1.90 mm  
  20.00 MeV   5.175E+01  8.159E-01   47.23 mm     1.71 mm     1.94 mm  
  22.50 MeV   5.511E+01  7.452E-01   50.13 mm     1.77 mm     1.98 mm  
  25.00 MeV   5.796E+01  6.868E-01   52.87 mm     1.82 mm     2.01 mm  
  27.50 MeV   6.040E+01  6.376E-01   55.50 mm     1.86 mm     2.04 mm  
  30.00 MeV   6.250E+01  5.955E-01   58.03 mm     1.90 mm     2.06 mm  
  32.50 MeV   6.433E+01  5.591E-01   60.49 mm     1.94 mm     2.09 mm  
  35.00 MeV   6.593E+01  5.273E-01   62.88 mm     1.97 mm     2.11 mm  
  37.50 MeV   6.735E+01  4.992E-01   65.22 mm     2.01 mm     2.13 mm  
  40.00 MeV   6.862E+01  4.742E-01   67.52 mm     2.04 mm     2.14 mm  
  45.00 MeV   7.079E+01  4.315E-01   72.00 mm     2.14 mm     2.18 mm  
  50.00 MeV   7.259E+01  3.964E-01   76.36 mm     2.23 mm     2.20 mm  
  55.00 MeV   7.411E+01  3.670E-01   80.63 mm     2.32 mm     2.23 mm  
  60.00 MeV   7.541E+01  3.420E-01   84.81 mm     2.40 mm     2.25 mm  
  65.00 MeV   7.651E+01  3.204E-01   88.93 mm     2.47 mm     2.27 mm  
  70.00 MeV   7.745E+01  3.015E-01   93.00 mm     2.54 mm     2.29 mm  
  80.00 MeV   7.890E+01  2.702E-01  101.02 mm     2.79 mm     2.33 mm  
  90.00 MeV   7.989E+01  2.452E-01  108.92 mm     3.01 mm     2.36 mm  
 100.00 MeV   8.050E+01  2.247E-01  116.74 mm     3.21 mm     2.40 mm  
 110.00 MeV   8.082E+01  2.076E-01  124.52 mm     3.40 mm     2.42 mm  
 120.00 MeV   8.091E+01  1.931E-01  132.28 mm     3.57 mm     2.45 mm  
 130.00 MeV   8.082E+01  1.806E-01  140.05 mm     3.74 mm     2.48 mm  
 140.00 MeV   8.058E+01  1.697E-01  147.83 mm     3.90 mm     2.50 mm  
 150.00 MeV   8.024E+01  1.601E-01  155.64 mm     4.06 mm     2.53 mm  
 160.00 MeV   7.981E+01  1.517E-01  163.48 mm     4.21 mm     2.55 mm  
 170.00 MeV   7.932E+01  1.441E-01  171.38 mm     4.36 mm     2.57 mm  
 180.00 MeV   7.894E+01  1.373E-01  179.32 mm     4.50 mm     2.59 mm  
 200.00 MeV   7.780E+01  1.256E-01  195.35 mm     5.04 mm     2.64 mm  
 225.00 MeV   7.598E+01  1.136E-01  215.79 mm     5.82 mm     2.69 mm  
 250.00 MeV   7.473E+01  1.039E-01  236.64 mm     6.53 mm     2.75 mm  
 275.00 MeV   7.347E+01  9.576E-02  257.84 mm     7.19 mm     2.80 mm  
 300.00 MeV   7.221E+01  8.888E-02  279.42 mm     7.81 mm     2.85 mm  
 325.00 MeV   7.097E+01  8.298E-02  301.37 mm     8.41 mm     2.90 mm  
 350.00 MeV   6.976E+01  7.786E-02  323.71 mm     8.98 mm     2.95 mm  
 375.00 MeV   6.859E+01  7.337E-02  346.43 mm     9.54 mm     3.01 mm  
 400.00 MeV   6.744E+01  6.940E-02  369.54 mm    10.09 mm     3.06 mm  
 450.00 MeV   6.525E+01  6.268E-02  416.94 mm    12.12 mm     3.17 mm  
 500.00 MeV   6.318E+01  5.722E-02  465.91 mm    13.96 mm     3.28 mm  
 550.00 MeV   6.122E+01  5.267E-02  516.48 mm    15.69 mm     3.39 mm  
 600.00 MeV   5.937E+01  4.884E-02  568.64 mm    17.34 mm     3.51 mm  
 650.00 MeV   5.761E+01  4.555E-02  622.40 mm    18.94 mm     3.62 mm  
 700.00 MeV   5.594E+01  4.270E-02  677.80 mm    20.50 mm     3.75 mm  
 800.00 MeV   5.284E+01  3.799E-02  793.51 mm    26.24 mm     4.00 mm  
 900.00 MeV   5.001E+01  3.427E-02  915.89 mm    31.44 mm     4.27 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.5889E-03                 eV / Angstrom 
  1.5889E-02                keV / micron   
  1.5889E-02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.8938E+00                 eV / (1E15 atoms/cm2)
  3.3475E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
